Country,Total_devs,Python_devs,Python_percentage
Dominica,1,1,100.0
Niger,1,1,100.0
Sierra Leone,1,1,100.0
Sao Tome and Principe,1,1,100.0
Timor-Leste,1,1,100.0
Turkmenistan,7,6,85.71428571428571
Mauritania,7,5,71.42857142857143
Guinea,3,2,66.66666666666666
Guyana,3,2,66.66666666666666
Bahamas,3,2,66.66666666666666
Uganda,72,47,65.27777777777779
Iceland,48,30,62.5
Benin,5,3,60.0
Haiti,5,3,60.0
Namibia,5,3,60.0
"Congo, Republic of the...",7,4,57.14285714285714
Cuba,29,16,55.172413793103445
Oman,11,6,54.54545454545454
Republic of Korea,37,20,54.054054054054056
South Korea,157,80,50.955414012738856
Kenya,239,120,50.2092050209205
Democratic People's Republic of Korea,2,1,50.0
Barbados,2,1,50.0
Chile,204,102,50.0
Bhutan,2,1,50.0
Angola,4,2,50.0
San Marino,2,1,50.0
Seychelles,2,1,50.0
Monaco,4,2,50.0
Finland,539,266,49.35064935064935
Ecuador,80,39,48.75
United States,20769,10083,48.54831720352448
Israel,944,457,48.41101694915254
United Republic of Tanzania,31,15,48.38709677419355
Taiwan,183,88,48.08743169398907
Hong Kong (S.A.R.),183,88,48.08743169398907
Switzerland,972,460,47.325102880658434
Iraq,36,17,47.22222222222222
Mongolia,17,8,47.05882352941176
Montenegro,17,8,47.05882352941176
Japan,387,182,47.02842377260982
China,638,297,46.55172413793103
Singapore,300,139,46.33333333333333
Canada,3365,1558,46.3001485884101
Honduras,26,12,46.15384615384615
Maldives,13,6,46.15384615384615
New Zealand,519,236,45.472061657032754
Nepal,224,101,45.089285714285715
Thailand,206,92,44.66019417475729
France,2374,1054,44.397641112047175
Ethiopia,46,20,43.47826086956522
Democratic Republic of the Congo,7,3,42.857142857142854
Estonia,193,82,42.487046632124354
Ireland,495,209,42.22222222222222
Sudan,38,16,42.10526315789473
Germany,5831,2451,42.03395643971874
Australia,1880,790,42.02127659574468
Russian Federation,1686,708,41.99288256227758
United Kingdom,5690,2384,41.89806678383128
Netherlands,1838,767,41.73014145810664
Luxembourg,60,25,41.66666666666667
Rwanda,12,5,41.66666666666667
Belgium,720,296,41.11111111111111
Greece,552,226,40.94202898550724
Norway,568,232,40.845070422535215
Austria,832,338,40.625
Denmark,609,246,40.39408866995074
Spain,1588,641,40.36523929471033
Italy,1554,625,40.21879021879022
Turkey,924,371,40.15151515151515
Slovenia,297,119,40.06734006734007
Brazil,1930,767,39.740932642487046
Slovakia,256,101,39.453125
Panama,33,13,39.39393939393939
Poland,1907,751,39.381227058206605
Sweden,1263,496,39.27157561361837
Ghana,82,32,39.02439024390244
Mexico,633,245,38.70458135860979
Qatar,13,5,38.46153846153847
Senegal,21,8,38.095238095238095
Guatemala,66,25,37.878787878787875
Czech Republic,759,285,37.54940711462451
Sri Lanka,366,137,37.43169398907104
Hungary,511,191,37.37769080234833
Peru,127,47,37.00787401574803
Iran,731,268,36.66210670314637
Paraguay,52,19,36.53846153846153
Lebanon,116,42,36.206896551724135
Azerbaijan,47,17,36.17021276595745
Zimbabwe,39,14,35.8974358974359
Uzbekistan,39,14,35.8974358974359
Costa Rica,84,30,35.714285714285715
Viet Nam,220,78,35.45454545454545
Egypt,314,111,35.35031847133758
Colombia,306,108,35.294117647058826
India,8844,3105,35.10854816824966
Portugal,521,182,34.93282149712092
Argentina,547,191,34.91773308957952
Saudi Arabia,95,33,34.73684210526316
Bangladesh,589,204,34.63497453310696
Belarus,202,69,34.15841584158416
Romania,744,253,34.00537634408602
Jordan,65,22,33.84615384615385
Croatia,258,87,33.72093023255814
Burundi,3,1,33.33333333333333
Armenia,84,28,33.33333333333333
Nicaragua,30,10,33.33333333333333
Lesotho,3,1,33.33333333333333
Morocco,150,50,33.33333333333333
Zambia,12,4,33.33333333333333
Belize,3,1,33.33333333333333
Liechtenstein,3,1,33.33333333333333
Mali,3,1,33.33333333333333
Georgia,79,26,32.91139240506329
South Africa,616,202,32.7922077922078
Malaysia,290,95,32.758620689655174
Uruguay,111,36,32.432432432432435
Philippines,361,117,32.40997229916898
Lithuania,244,79,32.37704918032787
Côte d'Ivoire,34,11,32.35294117647059
Bolivia,34,11,32.35294117647059
Cyprus,62,20,32.25806451612903
"Venezuela, Bolivarian Republic of...",87,28,32.18390804597701
Cambodia,28,9,32.142857142857146
United Arab Emirates,153,49,32.02614379084967
Cameroon,50,16,32.0
Algeria,126,40,31.746031746031743
Tunisia,126,40,31.746031746031743
Kyrgyzstan,19,6,31.57894736842105
Nigeria,493,152,30.831643002028397
Mauritius,26,8,30.76923076923077
Malta,65,20,30.76923076923077
Indonesia,488,148,30.327868852459016
Kuwait,20,6,30.0
Serbia,395,117,29.620253164556964
Other Country (Not Listed Above),125,37,29.599999999999998
Latvia,136,39,28.676470588235293
Ukraine,861,246,28.57142857142857
Jamaica,28,8,28.57142857142857
Madagascar,14,4,28.57142857142857
El Salvador,67,19,28.35820895522388
Pakistan,900,251,27.88888888888889
Bulgaria,650,181,27.846153846153847
Albania,83,23,27.710843373493976
Bosnia and Herzegovina,106,29,27.358490566037734
Trinidad and Tobago,19,5,26.31578947368421
Swaziland,8,2,25.0
Somalia,12,3,25.0
Togo,4,1,25.0
Syrian Arab Republic,28,7,25.0
Kazakhstan,64,15,23.4375
Bahrain,18,4,22.22222222222222
Dominican Republic,95,21,22.105263157894736
Afghanistan,39,8,20.51282051282051
Fiji,5,1,20.0
Libyan Arab Jamahiriya,10,2,20.0
Botswana,5,1,20.0
Myanmar,46,9,19.565217391304348
Yemen,17,3,17.647058823529413
Republic of Moldova,42,7,16.666666666666664
The former Yugoslav Republic of Macedonia,53,8,15.09433962264151
Mozambique,7,1,14.285714285714285
Djibouti,1,0,0.0
Burkina Faso,4,0,0.0
Cape Verde,2,0,0.0
Chad,1,0,0.0
Brunei Darussalam,1,0,0.0
Antigua and Barbuda,7,0,0.0
Andorra,7,0,0.0
Gabon,2,0,0.0
Lao People's Democratic Republic,3,0,0.0
Malawi,2,0,0.0
Papua New Guinea,1,0,0.0
North Korea,1,0,0.0
Saint Vincent and the Grenadines,1,0,0.0
Saint Kitts and Nevis,1,0,0.0
Tonga,1,0,0.0
Tajikistan,6,0,0.0
