Topic,Problem Name With Link,Problem Name,Problem Link,Done,Mark For Revision,Notes,Codes
Greedy Techniques,,,,,,,
,Fractional Knapsack,Fractional Knapsack,https://parikh.club/parikh_greedy1,0.0,0.0,,
,Gas Tank,Gas Tank,https://parikh.club/parikh_greedy2,0.0,0.0,,
,Job Sequencing,Job Sequencing,https://parikh.club/parikh_greedy3,0.0,0.0,,
,Next Greater Number,Next Greater Number,https://parikh.club/parikh_greedy4,0.0,0.0,,
,Minimum Cash Flow,Minimum Cash Flow,https://parikh.club/parikh_greedy5,0.0,0.0,,
,,,,,,,
Tries,,,,,,,
,"Implement A Trie(Insert,Search)","Implement A Trie(Insert,Search)",https://parikh.club/parikh_tries1,0.0,0.0,,
,Trie (Delete),Trie (Delete),https://parikh.club/parikh_tries2,0.0,0.0,,
,Count distinct substrings,Count distinct substrings,https://parikh.club/parikh_tries3,0.0,0.0,,
,Spell Checker,Spell Checker,https://parikh.club/parikh_tries4,0.0,0.0,,
,Maximum XOR,Maximum XOR,https://parikh.club/parikh_tries5,0.0,0.0,,
,,,,,,,
Sliding Window & Deque,,,,,,,
,Smallest Subarray With K Distinct Elements,Smallest Subarray With K Distinct Elements,https://parikh.club/parikh_sliding1,0.0,0.0,,
,Count Distinct Element in Every K Size Window,Count Distinct Element in Every K Size Window,https://parikh.club/parikh_sliding2,0.0,0.0,,
,Longest Substring Without Repeating Characters,Longest Substring Without Repeating Characters,https://parikh.club/parikh_sliding3,0.0,0.0,,
,Anagram Substring Search,Anagram Substring Search,https://parikh.club/parikh_sliding4,0.0,0.0,,
,Implement Dequeue,Implement Dequeue,https://parikh.club/parikh_sliding5,0.0,0.0,,
,Sliding Maximum,Sliding Maximum,https://parikh.club/parikh_sliding6,0.0,0.0,,
,Maximum in Subarrays of length K,Maximum in Subarrays of length K,https://parikh.club/parikh_sliding7,0.0,0.0,,
,,,,,,,
Priority Queues & Heaps,,,,,,,
,Implement Priority Queue,Implement Priority Queue,https://parikh.club/parikh_heaps1,0.0,0.0,,
,Convert Min Heap To Max heap,Convert Min Heap To Max heap,https://parikh.club/parikh_heaps2,0.0,0.0,,
,Kth Smalles & Largest Element,Kth Smalles & Largest Element,https://parikh.club/parikh_heaps3,0.0,0.0,,
,Kth Largest Sum Subarray,Kth Largest Sum Subarray,https://parikh.club/parikh_heaps4,0.0,0.0,,
,Merge K Sorted Arrays,Merge K Sorted Arrays,https://parikh.club/parikh_heaps5,0.0,0.0,,
,Running Median,Running Median,https://parikh.club/parikh_heaps6,0.0,0.0,,
,Connect n ropes with minimum cost,Connect n ropes with minimum cost,https://parikh.club/parikh_heaps7,0.0,0.0,,
,,,,,,,
Advanced Recursion & Backtracking,,,,,,,
,N Queen Problem,N Queen Problem,https://parikh.club/parikh_advancerecursion1,0.0,0.0,,
,Sudoku Solver,Sudoku Solver,https://parikh.club/parikh_advancerecursion2,0.0,0.0,,
,Rat in a Maze,Rat in a Maze,https://parikh.club/parikh_advancerecursion3,0.0,0.0,,
,Letter Combinations Of Phone Number,Letter Combinations Of Phone Number,https://parikh.club/parikh_advancerecursion4,0.0,0.0,,
,Subsequences of String,Subsequences of String,https://parikh.club/parikh_advancerecursion5,0.0,0.0,,
,Combination Sum,Combination Sum,https://parikh.club/parikh_advancerecursion6,0.0,0.0,,
,Print Permutations,Print Permutations,https://parikh.club/parikh_advancerecursion7,0.0,0.0,,
,Restore IP Addresses,Restore IP Addresses,https://parikh.club/parikh_advancerecursion8,,,,
,,,,,,,
Dynamic Programming,,,,,,,
,Count way to reach nth stair,Count way to reach nth stair,https://parikh.club/parikh_dp1,0.0,0.0,,
,House Robber,House Robber,https://parikh.club/parikh_dp2,0.0,0.0,,
,Ways to make coin change,Ways to make coin change,https://parikh.club/parikh_dp3,0.0,0.0,,
,Rod Cutting Problem,Rod Cutting Problem,https://parikh.club/parikh_dp4,0.0,0.0,,
,Minimum Jumps To Reach End,Minimum Jumps To Reach End,https://parikh.club/parikh_dp5,0.0,0.0,,
,Minimum steps to reach target by Knight,Minimum steps to reach target by Knight,https://parikh.club/parikh_dp6,0.0,0.0,,
,Longest Increasing Subsequence,Longest Increasing Subsequence,https://parikh.club/parikh_dp7,0.0,0.0,,
,Longest Common Subsequence,Longest Common Subsequence,https://parikh.club/parikh_dp8,0.0,0.0,,
,Edit Distance,Edit Distance,https://parikh.club/parikh_dp9,0.0,0.0,,
,Interleaving 2 strings,Interleaving 2 strings,https://parikh.club/parikh_dp10,0.0,0.0,,
,Minimum Deletions,Minimum Deletions,https://parikh.club/parikh_dp11,0.0,0.0,,
,0-1 Knapsack,0-1 Knapsack,https://parikh.club/parikh_dp12,0.0,0.0,,
,Best Time to buy and sell stock,Best Time to buy and sell stock,https://parikh.club/parikh_dp13,0.0,0.0,,
,Matrix Chain Multiplication,Matrix Chain Multiplication,https://parikh.club/parikh_dp14,0.0,0.0,,
,Partition Equal Subset Sum,Partition Equal Subset Sum,https://parikh.club/parikh_dp15,0.0,0.0,,
,,,,,,,
Graphs,,,,,,,
,Largest Island,Largest Island,https://parikh.club/parikh_graphs1,0.0,0.0,,
,Is Graph A Tree?,Is Graph A Tree?,https://parikh.club/parikh_graphs2,0.0,0.0,,
,Snake & Ladder Problem,Snake & Ladder Problem,https://parikh.club/parikh_graphs3,0.0,0.0,,
,Shortest path in Binary Matrix,Shortest path in Binary Matrix,https://parikh.club/parikh_graphs4,0.0,0.0,,
,Djikstra’s Algorithm,Djikstra’s Algorithm,https://parikh.club/parikh_graphs5,0.0,0.0,,
,MST Using Prim’s  Algorithm (With Priority Queue),MST Using Prim’s  Algorithm (With Priority Queue),https://parikh.club/parikh_graphs6,0.0,0.0,,
,MST Using Kruskal's  Algorithm (With Disjoint Set Union),MST Using Kruskal's  Algorithm (With Disjoint Set Union),https://parikh.club/parikh_graphs7,0.0,0.0,,
,Topological Sort,Topological Sort,https://parikh.club/parikh_graphs8,0.0,0.0,,
,M Coloring Problem,M Coloring Problem,https://parikh.club/parikh_graphs9,0.0,0.0,,
,Detect Cycle In Directed Graph,Detect Cycle In Directed Graph,https://parikh.club/parikh_graphs10,0.0,0.0,,
,Bipartite Check,Bipartite Check,https://parikh.club/parikh_graphs11,0.0,0.0,,
,Bellman Ford Algorithm,Bellman Ford Algorithm,https://parikh.club/parikh_graphs12,0.0,0.0,,
,Floyd Warshall Algorithm,Floyd Warshall Algorithm,https://parikh.club/parikh_graphs13,0.0,0.0,,
,,,,,,,
"Mixed Questions - 3 
(Concept learned in Basic DSA , Intermediate DSA and topics above will be used here. This is critical to become great in DSA.)                                        ",,,,,,,
,Minimum Fountains,Minimum Fountains,https://parikh.club/parikh_mixedadvancedsa1,0.0,0.0,,
,Minimum Coins,Minimum Coins,https://parikh.club/parikh_mixedadvancedsa2,0.0,0.0,,
,Implement Atoi Function,Implement Atoi Function,https://parikh.club/parikh_mixedadvancedsa3,0.0,0.0,,
,Generate Paranthesis,Generate Paranthesis,https://parikh.club/parikh_mixedadvancedsa4,0.0,0.0,,
,Minimum insertions to make string palindrome,Minimum insertions to make string palindrome,https://parikh.club/parikh_mixedadvancedsa5,0.0,0.0,,
,Convert BST to Min Heap,Convert BST to Min Heap,https://parikh.club/parikh_mixedadvancedsa6,0.0,0.0,,
,Fruit And Baskets,Fruit And Baskets,https://parikh.club/parikh_mixedadvancedsa7,0.0,0.0,,
,Subset Sum,Subset Sum,https://parikh.club/parikh_mixedadvancedsa8,0.0,0.0,,
,Path With Good Nodes,Path With Good Nodes,https://parikh.club/parikh_mixedadvancedsa9,0.0,0.0,,
,Longest Path In Directed Graph,Longest Path In Directed Graph,https://parikh.club/parikh_mixedadvancedsa10,0.0,0.0,,
,Minimum Window Subsequence,Minimum Window Subsequence,https://parikh.club/parikh_mixedadvancedsa11,0.0,0.0,,
