Topic,Problem Name With Link,Problem Name,Problem Link,Done,Mark For Revision,Notes,Codes 
,,,,,,,
Arrays,,,,,,,
,Second Largest Element,Second Largest Element,https://parikh.club/parikh_arrays_1,1.0,0.0,,
,Rotate An Array By K,Rotate An Array By K,https://parikh.club/parikh_arrays_2,1.0,0.0,,
,Non Decreasing Array,Non Decreasing Array,https://parikh.club/parikh_arrays_3,1.0,1.0,,
,Equilibrium Index,Equilibrium Index,https://parikh.club/parikh_arrays_4,1.0,1.0,,
,First Missing Positive,First Missing Positive,https://parikh.club/parikh_arrays_5,1.0,0.0,,
,,,,,,,
String,,,,,,,
,Reverse String Word Wise,Reverse String Word Wise,https://parikh.club/parikh_strings_1,1.0,0.0,,
,String encoding,String encoding,https://parikh.club/parikh_strings_2,1.0,1.0,,
,Minimum Paranthesis,Minimum Paranthesis,https://parikh.club/parikh_strings_3,1.0,0.0,,
,Beautiful Strings,Beautiful Strings,https://parikh.club/parikh_strings_4,1.0,0.0,,
,Next smallest palindrome,Next smallest palindrome,https://parikh.club/parikh_strings_5,1.0,1.0,,
,,,,,,,
Multi-Dimensional arrays,,,,,,,
,Sum of zeroes,Sum of zeroes,https://parikh.club/parikh_multidarrays1,1.0,0.0,,
,Matrix Symmetric,Matrix Symmetric,https://parikh.club/parikh_multidarrays2,1.0,0.0,,
,Inplace rotate matrix 90 degree,Inplace rotate matrix 90 degree,https://parikh.club/parikh_multidarrays3,1.0,0.0,,
,Set Matrix Zeroes,Set Matrix Zeroes,https://parikh.club/parikh_multidarrays4,1.0,0.0,,
,Spiral Order,Spiral Order,https://parikh.club/parikh_multidarrays5,1.0,1.0,,
,,,,,,,
Maps/Sets,,,,,,,
,Make Unique Array,Make Unique Array,https://parikh.club/parikh_maps1,1.0,0.0,,
,First Non Repeating Character in String,First Non Repeating Character in String,https://parikh.club/parikh_maps2,1.0,0.0,,
,Longest Subarray Zero Sum,Longest Subarray Zero Sum,https://parikh.club/parikh_maps3,1.0,1.0,,
,Count all sub-arrays having sum divisible by k,Count all sub-arrays having sum divisible by k,https://parikh.club/parikh_maps4,1.0,0.0,,
,Group Anagrams,Group Anagrams,https://parikh.club/parikh_maps5,1.0,0.0,,
,,,,,,,
Two Pointers,,,,,,,
,Pair Sum,Pair Sum,https://parikh.club/parikh_twopointers1,1.0,0.0,,
,Move Negative Number To Start,Move Negative Number To Start,https://parikh.club/parikh_twopointers2,1.0,0.0,,
,Container With Most Water,Container With Most Water,https://parikh.club/parikh_twopointers3,1.0,0.0,,
,Check subsequence,Check subsequence,https://parikh.club/parikh_twopointers4,1.0,0.0,,
,,,,,,,
Basic Algorithms,,,,,,,
,Insertion Sort,Insertion Sort,https://parikh.club/parikh_basicalgo1,1.0,0.0,,
,Selection Sort,Selection Sort,https://parikh.club/parikh_basicalgo2,1.0,0.0,,
,Bubble Sort,Bubble Sort,https://parikh.club/parikh_basicalgo3,1.0,0.0,,
,Kadane’s Algoritm,Kadane’s Algoritm,https://parikh.club/parikh_basicalgo4,1.0,0.0,,
,Dutch National Flag Algorithm,Dutch National Flag Algorithm,https://parikh.club/parikh_basicalgo5,1.0,0.0,,
,Moore’s Voting Algorithm,Moore’s Voting Algorithm,https://parikh.club/parikh_basicalgo6,1.0,0.0,,
,,,,,,,
"Mixed Questions-1 
(Concepts learned in topics above will be used in below questions. This is critical to become great in DSA.) ",,,,,,,
,Check permutation,Check permutation,https://parikh.club/parikh_mixedbasic_dsa1,1.0,0.0,,
,Intersection Of Two Arrays,Intersection Of Two Arrays,https://parikh.club/parikh_mixedbasic_dsa2,1.0,0.0,,
,N/3 repeated number in array,N/3 repeated number in array,https://parikh.club/parikh_mixedbasic_dsa3,1.0,0.0,,
,Counting Sort,Counting Sort,https://parikh.club/parikh_mixedbasic_dsa4,1.0,0.0,,
,Rotate Matrix To Right,Rotate Matrix To Right,https://parikh.club/parikh_mixedbasic_dsa5,1.0,0.0,,
,FInd Kth Character of Decrypted String,FInd Kth Character of Decrypted String,https://parikh.club/parikh_mixedbasic_dsa6,1.0,1.0,,
,Move Zeroes To End,Move Zeroes To End,https://parikh.club/parikh_mixedbasic_dsa7,1.0,0.0,,
,Sum of Two Elements Equals Third,Sum of Two Elements Equals Third,https://parikh.club/parikh_mixedbasic_dsa8,1.0,0.0,,
,Minimum Operations to Make String Equal,Minimum Operations to Make String Equal,https://parikh.club/parikh_mixedbasic_dsa9,0.0,0.0,,
,Maximum Sum Circular Array,Maximum Sum Circular Array,https://parikh.club/parikh_mixedbasic_dsa10,1.0,1.0,,
,Longest Consecutive Sequence,Longest Consecutive Sequence,https://parikh.club/parikh_mixedbasic_dsa11,1.0,1.0,,
,Maximum Subarray Sum After K Concat,Maximum Subarray Sum After K Concat,https://parikh.club/parikh_mixedbasic_dsa12,1.0,0.0,,
,Maximum Product Count,Maximum Product Count,https://parikh.club/parikh_mixedbasic_dsa13,0.0,0.0,,
,Multiply Strings,Multiply Strings,https://parikh.club/parikh_mixedbasic_dsa14,0.0,0.0,,
,Find All Subsquares of size K,Find All Subsquares of size K,https://parikh.club/parikh_mixedbasic_dsa15,0.0,0.0,,
,Repeat And Missing Number Array,Repeat And Missing Number Array,https://parikh.club/parikh_mixedbasic_dsa16,0.0,0.0,,
,4 Sum Problem,4 Sum Problem,https://parikh.club/parikh_mixedbasic_dsa17,0.0,0.0,,
,Count All Subarrays With Given Sum,Count All Subarrays With Given Sum,https://parikh.club/parikh_mixedbasic_dsa18,0.0,0.0,,
,Maximum Sum Rectangle,Maximum Sum Rectangle,https://parikh.club/parikh_mixedbasic_dsa19,0.0,0.0,,
,Nth element of spiral matrix,Nth element of spiral matrix,https://parikh.club/parikh_mixedbasic_dsa20,0.0,0.0,,
