"How To Use This Roadmap Really Well : https://youtu.be/qqvYFlBJMSw

","StartDate
(Change whenever you start this roadmap)",2023-09-06 00:00:00,Email Id,upskillwithparikh@gmail.com,Unnamed: 5,Unnamed: 6,Unnamed: 7
Must Read This Before Following This Roadmap!,Subjects,Total Marks,Status,Number of days,Start Date,"Deadline 
(Set According To Start Date)",
,,,,,,,
Computer Science,,,,,,,
"Most common questions asked by every company (product based or service based) or any startup. These are the basic things which every programmer should know. For every role in tech including software development, backend development, front-end development, full stack web development, data scientists etc., these questions can be asked. ",General Aptitude,15,NS,5,2023-09-06 00:00:00,2023-09-11 00:00:00,0.0
,Programming and Data Structure,15,NS,20,2023-09-11 00:00:00,2023-10-01 00:00:00,0.0
,Discrete Mathematics,13,NS,8,2023-10-01 00:00:00,2023-10-09 00:00:00,0.0
,Engineering Mathematics,13,NS,8,2023-10-09 00:00:00,2023-10-17 00:00:00,0.0
,Computer Networks,10,NS,10,2023-10-17 00:00:00,2023-10-27 00:00:00,0.0
,Operating System,9,NS,10,2023-10-27 00:00:00,2023-11-06 00:00:00,0.0
,Computer Organization and Architecture,8,NS,10,2023-11-06 00:00:00,2023-11-16 00:00:00,0.0
,Algorithms,7,NS,8,2023-11-16 00:00:00,2023-11-24 00:00:00,0.0
,Databases,7,NS,12,2023-11-24 00:00:00,2023-12-06 00:00:00,0.0
,Digital Logic,6,NS,8,2023-12-06 00:00:00,2023-12-14 00:00:00,0.0
,Theory of Computation,6,NS,12,2023-12-14 00:00:00,2023-12-26 00:00:00,0.0
,Compiler Design,4,NS,10,2023-12-26 00:00:00,2024-01-05 00:00:00,0.0
,Revision/Break Days,,,3,,,
