Topic,Problem Name With Link,Problem Name,Problem Link,Done,Mark For Revision,Notes,Codes
Binary Search,,,,,,,
,Square Root,Square Root,https://parikh.club/parikh_bs1,0.0,0.0,,
,Search in Rotated Sorted Array,Search in Rotated Sorted Array,https://parikh.club/parikh_bs2,0.0,0.0,,
,FInd element that appears twice,FInd element that appears twice,https://parikh.club/parikh_bs3,0.0,0.0,,
,Matrix Median,Matrix Median,https://parikh.club/parikh_bs4,0.0,0.0,,
,Aggressive Cows,Aggressive Cows,https://parikh.club/parikh_bs5,0.0,0.0,,
,,,,,,,
Recursion Basics,,,,,,,
,Merge Sort,Merge Sort,https://parikh.club/parikh_recursion1,0.0,0.0,,
,Quick Sort,Quick Sort,https://parikh.club/parikh_recursion2,0.0,0.0,,
,Find Kth Element,Find Kth Element,https://parikh.club/parikh_recursion3,0.0,0.0,,
,Family Structure,Family Structure,https://parikh.club/parikh_recursion4,0.0,0.0,,
,Binary String With no consecutive 1s,Binary String With no consecutive 1s,https://parikh.club/parikh_recursion5,0.0,0.0,,
,,,,,,,
Linked List,,,,,,,
,Reverse A Linked List,Reverse A Linked List,https://parikh.club/parikh_ll1,0.0,0.0,,
,Mid Point In Linked List,Mid Point In Linked List,https://parikh.club/parikh_ll2,0.0,0.0,,
,Merge Sort,Merge Sort,https://parikh.club/parikh_recursion1,0.0,0.0,,
,Add Two Linked Lists,Add Two Linked Lists,https://parikh.club/parikh_ll4,0.0,0.0,,
,Insertion Sort on Linked List,Insertion Sort on Linked List,https://parikh.club/parikh_ll5,0.0,0.0,,
,Delete Kth node from End,Delete Kth node from End,https://parikh.club/parikh_ll6,0.0,0.0,,
,Detect And Remove Cycle,Detect And Remove Cycle,https://parikh.club/parikh_ll7,0.0,0.0,,
,Swap Nodes In Pairs,Swap Nodes In Pairs,https://parikh.club/parikh_ll8,0.0,0.0,,
,Append Nodes,Append Nodes,https://parikh.club/parikh_ll9,0.0,0.0,,
,Segregate Odd even,Segregate Odd even,https://parikh.club/parikh_ll10,0.0,0.0,,
,,,,,,,
Stacks & Queues,,,,,,,
,Implement Stack Using Array,Implement Stack Using Array,https://parikh.club/parikh_stackqueue1,0.0,0.0,,
,Implement Stack Using Linked List,Implement Stack Using Linked List,https://parikh.club/parikh_stackqueue2,0.0,0.0,,
,Implement Queue Using Array/LinkedList,Implement Queue Using Array/LinkedList,https://parikh.club/parikh_stackqueue3,0.0,0.0,,
,Implement Queue Using 2 Stacks,Implement Queue Using 2 Stacks,https://parikh.club/parikh_stackqueue4,0.0,0.0,,
,Implement Stack Using 2 Queues,Implement Stack Using 2 Queues,https://parikh.club/parikh_stackqueue5,0.0,0.0,,
,Min Stack,Min Stack,https://parikh.club/parikh_stackqueue6,0.0,0.0,,
,Next Greater Element,Next Greater Element,https://parikh.club/parikh_stackqueue7,0.0,0.0,,
,Stock Span Problem,Stock Span Problem,https://parikh.club/parikh_stackqueue8,0.0,0.0,,
,Reverse Queue,Reverse Queue,https://parikh.club/parikh_stackqueue9,0.0,0.0,,
,Valid Parantheses,Valid Parantheses,https://parikh.club/parikh_stackqueue10,0.0,0.0,,
,,,,,,,
Binary Trees & BST,,,,,,,
,Diameter Of Binary Tree,Diameter Of Binary Tree,https://parikh.club/parikh_bt1,0.0,0.0,,
,LCA Of Binary Tree,LCA Of Binary Tree,https://parikh.club/parikh_bt2,0.0,0.0,,
,Level Order Traversal Binary Tree,Level Order Traversal Binary Tree,https://parikh.club/parikh_bt3,0.0,0.0,,
,ZigZar Order Traversal Binary Tree,ZigZar Order Traversal Binary Tree,https://parikh.club/parikh_bt4,0.0,0.0,,
,Left View Of Binary Tree,Left View Of Binary Tree,https://parikh.club/parikh_bt5,0.0,0.0,,
,Top View Of Binary Tree,Top View Of Binary Tree,https://parikh.club/parikh_bt6,0.0,0.0,,
,Construct Binary Tree From Inorder And Preorder,Construct Binary Tree From Inorder And Preorder,https://parikh.club/parikh_bt7,0.0,0.0,,
,Vertical Order Traversal Of Binary Tree,Vertical Order Traversal Of Binary Tree,https://parikh.club/parikh_bt8,0.0,0.0,,
,Inorder Traversal Binary Tree Using Stacks,Inorder Traversal Binary Tree Using Stacks,https://parikh.club/parikh_bt9,0.0,0.0,,
,LCA of two nodes in BST,LCA of two nodes in BST,https://parikh.club/parikh_bt10,0.0,0.0,,
