Topic,Problem Name With Link,Problem Name,Problem Link,Done,Mark For Revision,Notes,Codes
Bit Manipulation,,,,,,,
,"Find a value whose XOR with a given value is maximum.
","Find a value whose XOR with a given value is maximum.
",https://parikh.club/parikh_bit1,0.0,0.0,,
,Set K Bits,Set K Bits,https://parikh.club/parikh_bit2,0.0,0.0,,
,X or Y,X or Y,https://parikh.club/parikh_bit3,0.0,0.0,,
,Count Bitwise OR of all subarrays,Count Bitwise OR of all subarrays,https://parikh.club/parikh_bit4,0.0,0.0,,
,Power of 2,Power of 2,https://parikh.club/parikh_bit5,0.0,0.0,,
,Flip Given Bits,Flip Given Bits,https://parikh.club/parikh_bit6,0.0,0.0,,
,Braille's Dilemma,Braille's Dilemma,https://parikh.club/parikh_bit7,0.0,0.0,,
,,,,,,,
String Algorithms,,,,,,,
,Boyer Moore Algorithm,Boyer Moore Algorithm,https://parikh.club/parikh_stringalgo1,0.0,0.0,,
,Z Algorithm,Z Algorithm,https://parikh.club/parikh_stringalgo2,0.0,0.0,,
,KMP Algorithm,KMP Algorithm,https://parikh.club/parikh_stringalgo3,0.0,0.0,,
,Rabin Karp Algorithm,Rabin Karp Algorithm,https://parikh.club/parikh_stringalgo4,0.0,0.0,,
,Manacher's Algorithm,Manacher's Algorithm,https://parikh.club/parikh_stringalgo5,0.0,0.0,,
,,,,,,,
Segment Tree,,,,,,,
,Range Minimum Query,Range Minimum Query,https://parikh.club/parikh_segmenttree1,0.0,0.0,,
,Fastest Horse,Fastest Horse,https://parikh.club/parikh_segmenttree2,0.0,0.0,,
,Maximum Subarray Sum Queries,Maximum Subarray Sum Queries,https://parikh.club/parikh_segmenttree3,0.0,0.0,,
,Ninja and Meteorites,Ninja and Meteorites,https://parikh.club/parikh_segmenttree4,0.0,0.0,,
,Squares Sum,Squares Sum,https://parikh.club/parikh_segmenttree5,0.0,0.0,,
,AP Queries,AP Queries,https://parikh.club/parikh_segmenttree6,0.0,0.0,,
,,,,,,,
Number Theory,,,,,,,
,Sieve of Eratosthenes,Sieve of Eratosthenes,https://parikh.club/parikh_numbertheory1,0.0,0.0,,
,Sum Of Factors,Sum Of Factors,https://parikh.club/parikh_numbertheory2,0.0,0.0,,
,Extended Euclid Algorithm,Extended Euclid Algorithm,https://parikh.club/parikh_numbertheory3,0.0,0.0,,
,Modulo Calculation,Modulo Calculation,https://parikh.club/parikh_numbertheory4,0.0,0.0,,
,Modular Exponentiation,Modular Exponentiation,https://parikh.club/parikh_numbertheory5,0.0,0.0,,
,,,,,,,
DP with Trees,,,,,,,
,Maximum Height Tree,Maximum Height Tree,https://parikh.club/parikh_dptrees1,0.0,0.0,,
,Ninja and Numbers,Ninja and Numbers,https://parikh.club/parikh_dptrees2,0.0,0.0,,
