Most Important Things While Following This Roadmap : ,Unnamed: 1
,
" Don't Miss this video :It's a one time effort, but that will give you lot of clarity behind this roadmap. That will really motivate you to follow this roadmap and make you best in DSA.
","Video link :  https://youtu.be/qqvYFlBJMSw
"
"
Deadlines are set according to the start date from the top. If you are starting today, you can change the start date and deadlines will be set accordingly.  ",Change Start Date From Here
"Also, for each topic deadline is assigned according to the number of days. I have set according to my own experience. But you can increase or decrease it, and deadlines will be changed accordingly.",Change Deadlines According To Days Here
"Whichever problem, you will mark for revision, will start getting updated in the revision problem section, which you can navigate from the bottom.",Check Revision Problems Here
You can sync your calendar with the topic deadlines by changing your email id and clicking sync google calendar from top.,Change Email Id To Sync With Google Calendar
"Last Request, this has been made with a lot of efforts and experience of learning and teaching DSA. But there can be lot of suggestions/feedback from your side which you want to improve.",Suggestion Form Link : https://forms.gle/Qb3QpZac6Xh7FVEo8 
"Also, it would be a great motivation for me if you will share it on social media platforms like LinkedIn, Instagram etc. that you have started following this DSA-251 Roadmap.
 It will be great to know that people are actually doing it.",
,
,
Other Important Videos Helpful For You,
 How to Make Notes in DSA? ,https://youtu.be/Ip0LcF5a1xQ
How How Not To Learn DSA? Most Common Mistakes.,https://youtu.be/RRjekv8D-O8
 How To Learn To Code in 2023 From Scratch?,https://youtu.be/cTwALtdYmCo
"How To Manage DSA, Development, College or Office Together?",https://youtu.be/TLAARB9v9IE
