Revision Problems,Unnamed: 1,Unnamed: 2
Problem Name,Problem Link,"Status (Not Done Yet, Need To Revise Again, Done And Dusted)"
Non Decreasing Array,https://parikh.club/parikh_arrays_3,
Equilibrium Index,https://parikh.club/parikh_arrays_4,
String encoding,https://parikh.club/parikh_strings_2,
Next smallest palindrome,https://parikh.club/parikh_strings_5,
Spiral Order,https://parikh.club/parikh_multidarrays5,
Longest Subarray Zero Sum,https://parikh.club/parikh_maps3,
FInd Kth Character of Decrypted String,https://parikh.club/parikh_mixedbasic_dsa6,
Maximum Sum Circular Array,https://parikh.club/parikh_mixedbasic_dsa10,
Longest Consecutive Sequence,https://parikh.club/parikh_mixedbasic_dsa11,
